trt,trt_mean,std,r,se,Min,Max,Q25,Q50,Q75,FQS_mean,stat_grp,practice_subset,practice,production_type,product_name,FQS,max_value,product_FQS,stat_grp_conv,conv_mean,stat_grp_conv_diff,mean_conv_diff,pval_tukey
Conventionnel,3.06539272529931,0.488314452931749,882,0.0163275136926512,1.16903728338943,5.85659171201111,2.79557965530043,3.04647460369464,3.30302728317137,3.06539272529931,abc,feed,feed_A.2.2,milk,Lait,Conventionnel,5.85659171201111,Lait - Conventionnel,abc,3.06539272529931,FALSE,0,NA
Fromages de Savoie,2.76415372977058,0.381537490584009,33,0.084410676185384,1.36717035515707,3.18826276733101,2.62624111260385,2.8909023837064,3.00684326978702,2.76415372977058,c,feed,feed_A.2.2,milk,Lait,Fromages de Savoie,5.85659171201111,Lait - Fromages de Savoie,abc,3.06539272529931,FALSE,-9.82709305214091,0.0086
Munster,3.12881312198023,0.354092098654541,38,0.0786615592577056,1.97165310048727,3.95121287792445,2.90816348527199,3.14905012424745,3.26234485343169,3.12881312198023,ab,feed,feed_A.2.2,milk,Lait,Munster,5.85659171201111,Lait - Munster,abc,3.06539272529931,FALSE,2.06891587356831,0.986
AB,74.7109315883444,38.0643576255844,88,2.6360009658968,0,242.133114472692,54.7347984797949,79.2097777681066,89.3607855767875,74.7109315883444,bc,feed,feed_A.3.1,milk,Lait,AB,242.133114472692,Lait - AB,abc,80.7113179869965,FALSE,-7.43438039212646,0.3124
Beurre de Charentes-Poitou,71.8457179391786,22.1657307927033,59,3.21929589131489,14.560355919614,106.538967913949,61.8351850282572,75.154155945938,88.750784861706,71.8457179391786,c,feed,feed_A.3.1,milk,Lait,Beurre de Charentes-Poitou,242.133114472692,Lait - Beurre de Charentes-Poitou,abc,80.7113179869965,FALSE,-10.9843331380691,0.1079
Bleu d'Auvergne - Cantal,86.495851063718,21.9566289230716,54,3.36503837442864,50.0110725348389,131.371289782045,68.4404799898393,81.7863116215943,101.385461898101,86.495851063718,ab,feed,feed_A.3.1,milk,Lait,Bleu d'Auvergne - Cantal,242.133114472692,Lait - Bleu d'Auvergne - Cantal,abc,80.7113179869965,FALSE,7.16694166443109,0.6372
Comte - Morbier,72.8275646113568,17.3846682541728,64,3.09098511833803,27.6501714570229,114.79910559093,67.5243111676861,70.5848266031327,81.7123438950732,72.8275646113568,c,feed,feed_A.3.1,milk,Lait,Comte - Morbier,242.133114472692,Lait - Comte - Morbier,abc,80.7113179869965,FALSE,-9.76784120525688,0.174
Conventionnel,80.7113179869965,23.5831615565346,882,0.832631061989914,1.31568952761,183.056452374978,67.5243111676861,78.2482911387485,92.5219391994135,80.7113179869965,abc,feed,feed_A.3.1,milk,Lait,Conventionnel,242.133114472692,Lait - Conventionnel,abc,80.7113179869965,FALSE,0,NA
Fromages de Savoie,85.6787624229974,34.3057620747541,33,4.30457155195383,14.1310873325779,175.120006154807,68.9858846299965,77.4788011438806,91.1077249300873,85.6787624229974,abc,feed,feed_A.3.1,milk,Lait,Fromages de Savoie,242.133114472692,Lait - Fromages de Savoie,abc,80.7113179869965,FALSE,6.15458223195059,0.9179
Munster,89.6355208158655,19.2452522359631,38,4.01139198872667,60.8198982603663,152.80115273406,75.6924111926494,85.8971670214102,99.8139348662144,89.6355208158655,a,feed,feed_A.3.1,milk,Lait,Munster,242.133114472692,Lait - Munster,abc,80.7113179869965,FALSE,11.0569410231992,0.3081
AB,54.5561439015547,22.5293319119676,88,1.5586511161217,5.23426056342731,117.292746562187,34.7749378948719,59.4451696899405,69.7659131433377,54.5561439015547,d,feed,feed_A.3.2,milk,Lait,AB,132.661986147795,Lait - AB,ab,81.6320034355466,TRUE,-33.1681918787769,0
Beurre de Charentes-Poitou,79.0970770278338,14.8508793107472,59,1.90354980860823,39.0286533004623,104.233099041253,71.5301884688636,80.0913458418627,90.4465842881794,79.0970770278338,abc,feed,feed_A.3.2,milk,Lait,Beurre de Charentes-Poitou,132.661986147795,Lait - Beurre de Charentes-Poitou,ab,81.6320034355466,FALSE,-3.10530956123623,0.857
